RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,BaseDate,2023-04-30,2023-06-30,2024-03-31
97739,1555,94531,zip,CA,CA,Antioch,"San Francisco-Oakland-Berkeley, CA",Contra Costa County,2023-03-31,-0.2,-0.4,-1.8
86715,1556,65201,zip,MO,MO,Columbia,"Columbia, MO",Boone County,2023-03-31,1.7,2.5,4.8
98538,1556,95991,zip,CA,CA,Yuba City,"Yuba City, CA",Sutter County,2023-03-31,-0.2,-0.6,-0.2
96644,1558,92102,zip,CA,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,2023-03-31,-0.5,-1.1,-0.4
97788,1559,94582,zip,CA,CA,San Ramon,"San Francisco-Oakland-Berkeley, CA",Contra Costa County,2023-03-31,0.0,-0.2,-1.4
65677,1560,18974,zip,PA,PA,Warminster,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Bucks County,2023-03-31,0.1,-0.3,0.4
100223,1561,99504,zip,AK,AK,Anchorage,"Anchorage, AK",Anchorage Borough,2023-03-31,0.1,-0.8,-2.0
96005,1562,90024,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2023-03-31,0.1,-0.4,0.7
97516,1563,94025,zip,CA,CA,Menlo Park,"San Francisco-Oakland-Berkeley, CA",San Mateo County,2023-03-31,0.0,-0.6,-1.1
63280,1564,13760,zip,NY,NY,Endicott,"Binghamton, NY",Broome County,2023-03-31,0.0,-0.3,-0.1
63447,1565,14150,zip,NY,NY,Tonawanda,"Buffalo-Cheektowaga, NY",Erie County,2023-03-31,-0.1,-0.2,0.6
70358,1566,29203,zip,SC,SC,Columbia,"Columbia, SC",Richland County,2023-03-31,-0.3,-0.8,2.4
58371,1568,01453,zip,MA,MA,Leominster,"Worcester, MA-CT",Worcester County,2023-03-31,0.1,-0.3,0.4
94765,1569,85051,zip,AZ,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",Maricopa County,2023-03-31,-0.3,-0.9,1.2
86356,1570,64118,zip,MO,MO,Gladstone,"Kansas City, MO-KS",Clay County,2023-03-31,0.1,0.0,1.3
75570,1571,40216,zip,KY,KY,Louisville,"Louisville/Jefferson County, KY-IN",Jefferson County,2023-03-31,-0.1,-0.9,-0.3
77923,1572,46037,zip,IN,IN,Fishers,"Indianapolis-Carmel-Anderson, IN",Hamilton County,2023-03-31,0.4,0.8,2.4
77002,1573,44102,zip,OH,OH,Cleveland,"Cleveland-Elyria, OH",Cuyahoga County,2023-03-31,-1.4,-3.5,-0.6
96492,1574,91748,zip,CA,CA,Rowland Heights,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2023-03-31,-0.7,-1.1,-0.4
89712,1575,72712,zip,AR,AR,Bentonville,"Fayetteville-Springdale-Rogers, AR",Benton County,2023-03-31,0.5,0.7,3.6
92309,1576,78213,zip,TX,TX,Castle Hills,"San Antonio-New Braunfels, TX",Bexar County,2023-03-31,-0.4,-1.1,0.6
88766,1578,70737,zip,LA,LA,Gonzales,"Baton Rouge, LA",Ascension Parish,2023-03-31,0.0,-0.2,-1.4
97540,1579,94066,zip,CA,CA,San Bruno,"San Francisco-Oakland-Berkeley, CA",San Mateo County,2023-03-31,0.0,-0.1,-1.2
65904,1580,19401,zip,PA,PA,Norristown,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Montgomery County,2023-03-31,-0.3,-1.0,0.2
74252,1581,37221,zip,TN,TN,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County,2023-03-31,0.0,0.0,2.1
91046,1582,75703,zip,TX,TX,Tyler,"Tyler, TX",Smith County,2023-03-31,0.8,1.1,2.4
95307,1583,87112,zip,NM,NM,Albuquerque,"Albuquerque, NM",Bernalillo County,2023-03-31,0.5,0.3,2.2
99199,1583,97330,zip,OR,OR,Corvallis,"Corvallis, OR",Benton County,2023-03-31,0.3,0.1,0.8
92530,1585,78589,zip,TX,TX,San Juan,"McAllen-Edinburg-Mission, TX",Hidalgo County,2023-03-31,0.4,0.6,3.0
60139,1586,06082,zip,CT,CT,Enfield,"Hartford-East Hartford-Middletown, CT",Hartford County,2023-03-31,0.2,-0.2,-0.4
78154,1587,46514,zip,IN,IN,Elkhart,"Elkhart-Goshen, IN",Elkhart County,2023-03-31,0.2,-0.1,0.8
84689,1588,60707,zip,IL,IL,Elmwood Park,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,2023-03-31,-0.2,-1.5,-2.6
98543,1589,96003,zip,CA,CA,Redding,"Redding, CA",Shasta County,2023-03-31,0.1,-0.1,0.1
97330,1590,93552,zip,CA,CA,Palmdale,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,2023-03-31,-0.2,-0.3,-0.8
66839,1591,21229,zip,MD,MD,Baltimore,"Baltimore-Columbia-Towson, MD",Baltimore City,2023-03-31,-0.7,-2.2,-2.8
78920,1592,48038,zip,MI,MI,Clinton,"Detroit-Warren-Dearborn, MI",Macomb County,2023-03-31,0.6,0.6,0.7
88819,1593,70810,zip,LA,LA,Baton Rouge,"Baton Rouge, LA",East Baton Rouge Parish,2023-03-31,0.3,0.1,-1.1
98171,1594,95404,zip,CA,CA,Santa Rosa,"Santa Rosa-Petaluma, CA",Sonoma County,2023-03-31,0.5,0.1,-1.5
96966,1595,92648,zip,CA,CA,Huntington Beach,"Los Angeles-Long Beach-Anaheim, CA",Orange County,2023-03-31,-0.4,-0.8,-0.3
94821,1596,85226,zip,AZ,AZ,Chandler,"Phoenix-Mesa-Chandler, AZ",Maricopa County,2023-03-31,-0.1,-0.5,1.3
61246,1597,08902,zip,NJ,NJ,North Brunswick Township,"New York-Newark-Jersey City, NY-NJ-PA",Middlesex County,2023-03-31,0.3,-0.1,-0.3
94792,1598,85086,zip,AZ,AZ,New River,"Phoenix-Mesa-Chandler, AZ",Maricopa County,2023-03-31,-0.2,-0.6,1.4
